student_id,major_category,year_of_study,pre_semester_gpa,weekly_genai_hours,primary_use_case,prompt_engineering_skill,tool_diversity,paid_subscription,traditional_study_hours,perceived_ai_dependency,institutional_policy,anxiety_level_during_exams,post_semester_gpa,skill_retention_score,burnout_risk_level,gpa_change,genai_hours_band,dependency_band,anxiety_band,total_study_hours,ai_to_traditional_study_ratio
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1,Yes,8.13,5,Allowed_With_Citation,6,2.393,86.44,High,-0.025,>20,5–6 Elevated,5–6,31.44,2.867
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5,No,16.65,3,Allowed_With_Citation,9,3.696,69.39,Low,-0.125,0–2,3–4 Moderate,9–10,17.77,0.067
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2,No,10.35,5,Strict_Ban,9,3.499,73.93,Medium,0.101,>20,5–6 Elevated,9–10,31.61,2.054
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4,No,15.23,2,Allowed_With_Citation,2,4.0,63.58,Medium,0.211,0–2,1–2 Low,1–2,17.05,0.12
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4,No,12.55,4,Allowed_With_Citation,4,3.798,100.0,Medium,0.163,>5–10,3–4 Moderate,3–4,21.84,0.74
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1,No,14.19,4,Allowed_With_Citation,5,3.666,65.92,High,0.217,>5–10,3–4 Moderate,5–6,20.69,0.458
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5,Yes,13.11,8,Allowed_With_Citation,7,4.0,67.97,Medium,0.378,>20,7–8 High,7–8,44.52,2.396
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3,No,18.45,2,Actively_Encouraged,1,2.965,85.09,Medium,0.219,>5–10,1–2 Low,1–2,23.78,0.289
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,Beginner,2,Yes,2.87,1,Strict_Ban,5,3.396,55.71,Medium,-0.024,0–2,1–2 Low,5–6,4.87,0.697
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2,Yes,12.49,3,Strict_Ban,8,2.978,87.18,High,-0.068,>10–20,3–4 Moderate,7–8,32.48,1.6
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3,No,11.43,5,Allowed_With_Citation,3,3.617,95.42,High,0.21,>5–10,5–6 Elevated,3–4,16.59,0.451
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3,No,8.05,3,Actively_Encouraged,3,2.699,72.41,Medium,0.072,>2–5,3–4 Moderate,3–4,11.67,0.45
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2,No,8.95,2,Actively_Encouraged,4,3.612,67.68,High,0.133,>2–5,1–2 Low,3–4,11.81,0.32
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1,No,25.3,2,Allowed_With_Citation,3,3.935,64.47,Medium,0.71,>5–10,1–2 Low,3–4,34.25,0.354
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1,No,16.52,2,Allowed_With_Citation,4,3.122,70.7,Low,-0.08,0–2,1–2 Low,3–4,17.74,0.074
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1,Yes,12.59,4,Allowed_With_Citation,4,2.228,70.66,Medium,0.152,>10–20,3–4 Moderate,3–4,27.33,1.171
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3,No,15.15,5,Strict_Ban,8,3.214,59.69,Medium,0.283,>2–5,5–6 Elevated,7–8,17.23,0.137
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4,No,10.7,4,Allowed_With_Citation,5,3.39,90.65,Medium,0.234,>5–10,3–4 Moderate,5–6,18.73,0.75
