source,year,population,metric,value,theme,url,use
HEPI Student Generative Artificial Intelligence Survey 2026,2026,"1,054 full-time UK undergraduates; Savanta; Dec 2025",AI use in at least one way,95%,adoption,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2026/,Benchmark current student adoption; UK-specific
HEPI Student Generative Artificial Intelligence Survey 2026,2026,"1,054 full-time UK undergraduates",Use GenAI to help with assessed work,94%,assessment,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2026/,Compare academic-assessment use
HEPI Student Generative Artificial Intelligence Survey 2026,2026,"1,054 full-time UK undergraduates",Directly include AI-generated text in assessed work,12%,academic integrity,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2026/,Separate AI assistance from direct text insertion
HEPI Student Generative Artificial Intelligence Survey 2026,2026,"1,054 full-time UK undergraduates",Say AI improved student experience,49%,perceived benefit,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2026/,Supports benefit-side narrative
HEPI Student Generative Artificial Intelligence Survey 2026,2026,"1,054 full-time UK undergraduates",Say AI worsened student experience,16%,perceived harm,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2026/,Supports downside-side narrative
HEPI Student Generative Artificial Intelligence Survey 2026,2026,"1,054 full-time UK undergraduates",Believe AI skills are essential to thrive,68%,AI literacy,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2026/,AI-skills/education angle
HEPI Student Generative AI Survey 2025,2025,"1,041 full-time UK undergraduates; Savanta",Use any AI tool,92%,adoption,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2025/,Time-series context with 2026
HEPI Student Generative AI Survey 2025,2025,"1,041 full-time UK undergraduates",Use GenAI for assessments,88%,assessment,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2025/,Compare year-on-year
Jisc Student perceptions of AI 2025,2025,"173 discussion-group students + seven surveys totaling 1,274 responses; FE and HE",Student research approach,Mixed qualitative + survey evidence,qualitative,https://www.jisc.ac.uk/reports/student-perceptions-of-ai-2025,"Qualitative themes: integrity, privacy, employability, anxiety, support"
EDUCAUSE 2025 Students and Technology Survey,2025,Higher-education student survey; instrument publicly documented,Course-specific GenAI measures,Frequency/use-case/policy questions,survey design,https://www.educause.edu/research-and-publications/research/analytics-services/surveys/2025/educause-student-survey,Model your primary survey questions
University Students’ Perspectives on Generative AI in Higher Education: Northeast and Western India,2025,200 university students in Assam and Gujarat,Used GenAI for academic purposes,59.1%,India,https://bodhijournals.com/index.php/bijrhas/article/view/4,India/Gujarat context; small sample
University Students’ Perspectives on Generative AI in Higher Education: Northeast and Western India,2025,200 university students in Assam and Gujarat,Perceived greater benefits from GenAI,49%,India,https://bodhijournals.com/index.php/bijrhas/article/view/4,Benefit perception; small sample
EY-Parthenon & FICCI Future-Ready Campuses,2025,30 leading Indian HEIs,HEIs with AI-related policies,~57% / over 56%,institutional context,https://www.ey.com/en_in/insights/education/harnessing-ai-in-higher-education-opportunities-and-the-road-ahead,Institutional policy context; not a student sample
